1	1	1	401	N	1000	59	X	-	X	-	-
2	2	1	400	N	1000	59	X	-	X	-	-
3	2	1	301	N	1000	59	X	-	X	-	-
4	3	1	250	N	1000	59	X	-	X	-	-
5	3	1	300	N	1000	59	X	-	X	-	-
6	4	2	401	Y	1000	59	-	X	X	X	X
7	5	3	401	N	1001	60	X	-	-	-	-
8	5	3	401	N	1001	120	X	-	-	-	-
9	6	3	401	N	0999	121	X	-	-	-	-
10	7	3	400	N	0999	121	X	-	-	-	-
11	7	3	301	N	0999	121	X	-	-	-	-
12	8	3	301	N	1000	60	X	-	-	-	-
13	8	3	301	N	1000	120	X	-	-	-	-
14	8	3	400	N	1000	60	X	-	-	-	-
15	8	3	400	N	1000	120	X	-	-	-	-
16	9	3	249	N	1000	120	X	-	-	-	-
17	10	3	250	N	0999	121	X	-	-	-	-
18	10	3	300	N	0999	121	X	-	-	-	-
19	11	3	249	N	0999	121	X	-	-	-	-
20	12	3	250	N	1000	60	X	-	-	-	-
21	12	3	300	N	1000	60	X	-	-	-	-
22	12	3	250	N	1000	120	X	-	-	-	-
23	12	3	300	N	1000	120	X	-	-	-	-
24	13	4	401	Y	1000	60	-	X	-	X	X
25	13	4	401	Y	1000	120	-	X	-	X	X
26	14	4	401	Y	1000	121	-	X	-	X	X
27	15	5	301	Y	1000	59	-	X	X	-	-
28	15	5	400	Y	1000	59	-	X	X	-	-
29	16	6	301	Y	1000	60	-	X	-	-	-
30	16	6	301	Y	1000	120	-	X	-	-	-
31	16	6	400	Y	1000	60	-	X	-	-	-
32	16	6	400	Y	1000	120	-	X	-	-	-
33	17	6	301	Y	1000	121	-	X	-	-	-
34	17	6	400	Y	1000	121	-	X	-	-	-
35	18	7	250	Y	1000	59	-	-	X	-	-
36	18	7	300	Y	1000	59	-	-	X	-	-
37	19	8	401	N	1001	121	-	-	-	-	-
